Ontology ID	label	parent class	description	guidance	datatype	pattern	requirement	examples	source	capitalize	data status	max value	min value	EXPORT_soil_emsl_jgi_mg	section	order	title	column_number
	Sample ID														Sample ID	1.0	Sample ID	
	NMDC biosample esp. GOLD paths														NMDC biosample esp. GOLD paths	2.0	NMDC biosample esp. GOLD paths	
	EMSL														EMSL	3.0	EMSL	
	JGI-Metagenomics														JGI-Metagenomics	4.0	JGI-Metagenomics	
	Metadata- MIxS Modified Required														Metadata- MIxS Modified Required	6.0	Metadata- MIxS Modified Required	
	Metadata- MIxS Required														Metadata- MIxS Required	7.0	Metadata- MIxS Required	
	Metadata- MIxS Modified Required Where Applicable														Metadata- MIxS Modified Required Where Applicable	8.0	Metadata- MIxS Modified Required Where Applicable	
	Metadata- MIxS Required Where Applicable														Metadata- MIxS Required Where Applicable	9.0	Metadata- MIxS Required Where Applicable	
	Metadata- MIxS Modified Optional														Metadata- MIxS Modified Optional	10.0	Metadata- MIxS Modified Optional	
	Metadata- MIxS Optional														Metadata- MIxS Optional	11.0	Metadata- MIxS Optional	
emsl:project_ID	Project ID	EMSL	Proposal IDs or names associated with dataset	pattern generalization: {text}	xs:token		required							project_ID				1.0
emsl:sample_type	sample type	EMSL	Type of sample being submitted	This can vary from 'environmental package' if the sample is an extraction. | pattern generalization: enumeration	select		required	water extracted soil						sample_type				2.0
emsl:sample_shipped	sample shipped amount	EMSL	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample sent to EMSL	pattern generalization: {float} {unit}	xs:token	[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+	required							sample_shipped				3.0
emsl:EMSL_store_temp	EMSL Sample Storage Temperature	EMSL	Temperature at which the sample sent to EMSL should be stored	Enter a temperature in celsius. Numeric portion only. | pattern generalization: {float}	xs:decimal		required	-80						EMSL_store_temp				4.0
emsl:technical_reps	Number Technical Replicate	EMSL	If sending multiple technical replicates of the same sample, indicate how many replicates are being sent	pattern generalization: {integer}	xs:nonNegativeInteger		recommended							technical_reps				5.0
emsl:replicate_number	Replicate Number	EMSL	If sending biological replicates, indicate the rep number here.	This will guide staff in ensuring your samples are block & randomized correctly | pattern generalization: {integer}	xs:nonNegativeInteger		recommended							replicate_number				6.0
jgi_gen:dna_seq_project	DNA Seq Project ID	JGI-Metagenomics	Prefilled	Do not edit this term, term will be provided by NMDC and can be uploaded | pattern generalization: {text}	xs:token		required	1191234						dna_seq_project				1.0
jgi_gen:dna_seq_project_name	DNA Seq Project Name	JGI-Metagenomics	Prefilled	Do not edit this term, term will be provided by NMDC and can be uploaded | pattern generalization: {text}	xs:token		required	JGI Pond metagenomics						dna_seq_project_name				2.0
jgi_gen:dna_samp_ID	DNA Sample ID	JGI-Metagenomics	Prefilled	Do not edit this term, term will be provided by NMDC and can be uploaded | pattern generalization: {text}	xs:token		required	187654						dna_samp_ID				3.0
jgi_gen:dna_sample_name	DNA Sample Name	JGI-Metagenomics	Give the DNA sample a name that is meaningful to you. Sample names must be unique across all JGI projects and contain ASCII characters only.	pattern generalization: {text}	xs:token		required	JGI_pond_041618						dna_sample_name				4.0
jgi_gen:dna_concentration	DNA Concentration	JGI-Metagenomics	Must be calculated using a fluorometric method; value >0 and <2000.	Units should be in ng/uL | pattern generalization: {float}	xs:decimal		required	100				2000.0	0.0	dna_concentration				5.0
jgi_gen:dna_volume	DNA Volume	JGI-Metagenomics	Value must be >0 and <1000 (values <25 by special permission only).	Units should be in uL | pattern generalization: {float}	xs:decimal		required	25				1000.0	0.0	dna_volume				6.0
jgi_gen:dna_absorb1	DNA Absorbance 260/280	JGI-Metagenomics	260/280 measurement of sample purity	Recommended value is between 1 and 3. | pattern generalization: {float}	xs:decimal		required	2.02						dna_absorb1				7.0
